gh_id, paper_doi, reuse_type, comment, citation_number, reused_doi, alt_url, page_num
neilernst, https://doi.org/10.1145/3368089.3409717, method, replication of 7, 7, 10.1145/2568225.2568233, , 
neilernst, https://doi.org/10.1145/3368089.3409717, tool, survey instrument of 7, 7, 10.1145/2568225.2568233, , 
neilernst, https://doi.org/10.1145/3368089.3409717, method, personal opinion surveys, kitchenham and pffleeger 2008, 10.1007/978-1-84800-044-5_3, , 
bhermann, https://doi.org/10.1145/3368089.3409717, method, opinion surveys Kitchenham and Pfleger 2008, 44, 10.1007/978-1-84800-044-5_3, , 
bhermann, https://doi.org/10.1145/3368089.3409717, method, replication of 7, 7, 10.1145/2568225.2568233, , 
mtbaldassarre, https://doi.org/10.1145/3368089.3409717, tool, survey instrument of 7, 7, 10.1145/2568225.2568233, , 
mtbaldassarre, https://doi.org/10.1145/3368089.3409717, method, opinion surveys, 44, 10.1007/978-1-84800-044-5_3, , 
neilernst, https://doi.org/10.1145/3368089.3409695, method,	replication including some data, 8	,10.1109/SCAM.2012.20,,
neilernst, https://doi.org/10.1145/3368089.3409695, tool,	find refacotrings RMiner,	47	,10.1145/3180155.3180206,,
neilernst, https://doi.org/10.1145/3368089.3409695, tool,	Issues with Perceval,	4	,,,
neilernst, https://doi.org/10.1145/3368089.3409695, method,	link commits and bugs (old ref),	25	,10.1109/ICSM.2003.1235403,,
neilernst, https://doi.org/10.1145/3368089.3409695, method,	link commits and bugs (old ref),	25	,10.1109/ICSM.2003.1235403,,
neilernst, https://doi.org/10.1145/3368089.3409695, tool, SZZ Unleashed,	13, 10.1145/3340482.3342742,,
neilernst, https://doi.org/10.1145/3368089.3409695, tool, lme4,	7, ,	arXiv:1406.5823,
bhermann, https://doi.org/10.1145/3368089.3409695, method, replication of, [8],	10.1109/SCAM.2012.20,,	
bhermann, https://doi.org/10.1145/3368089.3409695, tool, RMiner , [47],	10.1145/3180155.3180206,	https://github.com/tsantalis/RefactoringMiner,
bhermann,  https://doi.org/10.1145/3368089.3409695, method,	regular expression based linking, ([25] Fisher et al. 2003),	10.1109/ICSM.2003.1235403,,
bhermann, https://doi.org/10.1145/3368089.3409695, tool, Perceval, [4], 	10.1145/3183440.3183475,	https://github.com/chaoss/grimoirelab-perceval,
bhermann, https://doi.org/10.1145/3368089.3409695, tool, SZZ, [13],	10.1145/3340482.3342742,	https://github.com/wogscpar/SZZUnleashed,
mtbaldassarre, https://doi.org/10.1145/3368089.3409695, method,	replication study Bavota et al.,8,10.1109/SCAM.2012.20,,
mtbaldassarre, https://doi.org/10.1145/3368089.3409695, tool, SZZ,	13	,10.1145/3340482.3342742,,
mtbaldassarre, https://doi.org/10.1145/3368089.3409695, tool, RMiner, 47 ,10.1145/3180155.3180206,,
neilernst, https://doi.org/10.1145/3368089.3409675,	metric, compare to their qual results. Maybe theory reuse, 5,	10.1145/2791060.2791108,, p341
bhermann, https://doi.org/10.1145/3368089.3409675, method, grounded theory in SE [40] Stol et al., 40,	10.1145/2884781.2884833,, p339
bhermann, https://doi.org/10.1145/3368089.3409675,	method, card sorting broken citation - might be this doi from CHI , [10],10.1145/2559206.2567812,,			
mtbaldassarre, https://doi.org/10.1145/3368089.3409675,	method, grounded theory, 40, 10.1145/2884781.2884833,,
mtbaldassarre, https://doi.org/10.1145/3368089.3409675,	method, card sorting approach (to identify topics), 10, 10.1145/2559206.2567812,,	
mtbaldassarre, https://doi.org/10.1145/3368089.3409675,	metric, features of configurations, [5], 10.1145/2791060.2791108,,
neilernst, https://doi.org/10.1145/3368089.3409742,	method, reproduction of, 	63, 10.1145/227607.227610,,
neilernst, https://doi.org/10.1145/3368089.3409742,	dataset, use their SLR,	75, 10.1016/j.jss. 2019. 07.100,,
neilernst, https://doi.org/10.1145/3368089.3409742,	tool, PIT, 10, 10.1145/2931037.2948707,,
neilernst, https://doi.org/10.1145/3368089.3409742,	statistics, spearman's binning, 27, 10.1016/j.infsof.2017.03.002,,
neilernst, https://doi.org/10.1145/3368089.3409742,	tool, EvoSuite,	28, 10.1109/QSIC.2011.19,,
mtbaldassarre, https://doi.org/10.1145/3368089.3409742,	method, Reproduction of the work by Offutt et al., 	63, 10.1145/227607.227610,,	
mtbaldassarre, https://doi.org/10.1145/3368089.3409742,	tool, PIT v1.2.0, 10, 10.1145/2931037.2948707,,	
mtbaldassarre, https://doi.org/10.1145/3368089.3409742,	tool, EvoSuite,	28,10.1109/QSIC.2011.19,,
mtbaldassarre, https://doi.org/10.1145/3368089.3409742,	dataset	, prevoius SLR for conducting the study, 75, 10.1016/j.jss. 2019. 07.100,,
